Item,Neuroticism,Extraversion,Dominance,Impulsiveness,Agreeableness
Insecure,0.81,-0.14,-0.03,0.06,-0.03
Anxious,0.77,-0.17,0.02,0.07,-0.06
Fearful of people,0.73,0.04,-0.02,-0.05,-0.27
Suspicious,0.71,0.06,0.02,-0.09,-0.31
Shy,0.7,-0.13,-0.06,-0.09,-0.17
Trusting,-0.69,0.0,-0.02,0.07,0.36
Calm,-0.68,0.04,-0.09,-0.18,0.09
Stable,-0.64,0.15,-0.11,-0.26,0.08
Tense,0.56,-0.13,0.11,0.12,-0.14
Self-assured,-0.53,0.46,0.13,-0.12,0.04
Bold,-0.52,0.37,0.17,0.28,0.02
Fearful of other cats,0.46,-0.14,-0.1,-0.03,-0.04
Cool,-0.45,0.08,0.01,-0.17,-0.05
Excitable,0.39,0.04,0.15,0.38,0.15
Decisive,-0.14,0.62,0.16,-0.17,0.03
Smart,-0.09,0.6,0.02,-0.11,-0.02
Curious,-0.17,0.59,-0.03,0.28,0.29
Inventive,-0.14,0.56,0.03,0.22,0.26
Active,-0.09,0.53,-0.12,0.28,0.09
Inquisitive,-0.21,0.53,-0.03,0.27,0.32
Vigilant,0.16,0.48,0.01,0.13,-0.03
Deliberate,-0.05,0.48,0.14,-0.23,-0.01
Aimless,0.11,-0.45,0.06,0.37,0.06
Clumsy,0.11,-0.4,0.03,0.21,0.22
Persevering,0.03,0.4,0.19,0.11,0.08
Quitting,0.16,-0.31,0.07,0.18,-0.06
Bullying,-0.04,0.06,0.79,0.14,-0.07
Dominant,-0.19,0.16,0.7,0.11,-0.11
Aggressive to other cats,0.04,0.04,0.69,0.1,-0.15
Jealous,0.13,-0.02,0.59,0.1,0.04
Defiant,-0.09,0.16,0.56,0.3,-0.19
Submissive,0.25,-0.19,-0.46,0.02,0.17
Greedy,0.02,-0.11,0.45,0.1,0.28
Friendly to other cats,0.07,0.1,0.12,0.6,-0.02
Impulsive,0.21,-0.13,0.23,0.6,-0.21
Erratic,-0.04,0.04,0.31,0.55,0.02
Reckless,0.05,0.02,-0.02,-0.48,0.13
Predictable,0.13,-0.18,0.07,0.48,0.1
Distractible,0.01,-0.15,-0.1,-0.47,0.01
Constrained,-0.19,0.06,-0.07,-0.14,0.61
Affectionate,-0.5,-0.02,0.01,0.05,0.52
Friendly to people,-0.19,0.0,-0.33,-0.32,0.49
Gentle,-0.08,0.34,-0.09,0.22,0.47
Playful,0.26,-0.09,0.06,0.0,-0.44
Predictable,0.09998730749470441,-0.13262800894766805,0.08455170006310912,0.448222012986268,0.04892239026622011
Defiant,-0.09808776931987605,0.19181525541725852,0.5146639665710036,0.32380212937134856,-0.1248169365800708
Anxious,0.6990701768492221,-0.16048315075174163,0.026787691473824315,0.10040448310004808,-0.024750934433363958
Quitting,0.17804616887955677,-0.31321890254004836,0.08724511675223644,0.17599563323237555,-0.07206900658221063
Fearful of other cats,0.44216274871159034,-0.11219391007330175,-0.04780696945406711,-0.003677591933265209,0.028194326220855263
Self-assured,-0.4030418641865334,0.4984988679965397,0.1934194761201951,-0.09877568779717746,0.08702677924810048
Anxious,0.7236976690394261,-0.1956482658817811,0.055505462018197685,0.07462394357755486,-0.028496253069949615
Shy,0.7881468736151613,-0.09568699048127433,-0.14063579355948258,-0.11359659328947166,-0.1155524701516317
Erratic,-0.0991786583972269,0.051448521611521886,0.29303068534109017,0.5092364531739039,0.05495461909299945
