Item,Neuroticism,Extraversion,Dominance,Impulsiveness,Agreeableness
불안정한,0.81,-0.14,-0.03,0.06,-0.03
불안한,0.77,-0.17,0.02,0.07,-0.06
사람을 두려워하는,0.73,0.04,-0.02,-0.05,-0.27
의심스러운,0.71,0.06,0.02,-0.09,-0.31
수줍은,0.7,-0.13,-0.06,-0.09,-0.17
신뢰하는,-0.69,0.0,-0.02,0.07,0.36
차분한,-0.68,0.04,-0.09,-0.18,0.09
안정적인,-0.64,0.15,-0.11,-0.26,0.08
긴장한,0.56,-0.13,0.11,0.12,-0.14
자신감 있는,-0.53,0.46,0.13,-0.12,0.04
대담한,-0.52,0.37,0.17,0.28,0.02
다른 고양이를 두려워하는,0.46,-0.14,-0.1,-0.03,-0.04
침착한,-0.45,0.08,0.01,-0.17,-0.05
흥분하기 쉬운,0.39,0.04,0.15,0.38,0.15
결단력 있는,-0.14,0.62,0.16,-0.17,0.03
영리한,-0.09,0.6,0.02,-0.11,-0.02
호기심 많은,-0.17,0.59,-0.03,0.28,0.29
창의적인,-0.14,0.56,0.03,0.22,0.26
활동적인,-0.09,0.53,-0.12,0.28,0.09
탐구적인,-0.21,0.53,-0.03,0.27,0.32
경계하는,0.16,0.48,0.01,0.13,-0.03
신중한,-0.05,0.48,0.14,-0.23,-0.01
목적 없는,0.11,-0.45,0.06,0.37,0.06
서투른,0.11,-0.4,0.03,0.21,0.22
끈기 있는,0.03,0.4,0.19,0.11,0.08
포기하는,0.16,-0.31,0.07,0.18,-0.06
괴롭히는,-0.04,0.06,0.79,0.14,-0.07
지배적인,-0.19,0.16,0.7,0.11,-0.11
다른 고양이에게 공격적인,0.04,0.04,0.69,0.1,-0.15
질투하는,0.13,-0.02,0.59,0.1,0.04
반항적인,-0.09,0.16,0.56,0.3,-0.19
복종하는,0.25,-0.19,-0.46,0.02,0.17
욕심 많은,0.02,-0.11,0.45,0.1,0.28
다른 고양이에게 친근한,0.07,0.1,0.12,0.6,-0.02
충동적인,0.21,-0.13,0.23,0.6,-0.21
변덕스러운,-0.04,0.04,0.31,0.55,0.02
무모한,0.05,0.02,-0.02,-0.48,0.13
예측 가능한,0.13,-0.18,0.07,0.48,0.1
주의가 산만한,0.01,-0.15,-0.1,-0.47,0.01
억제된,-0.19,0.06,-0.07,-0.14,0.61
다정한,-0.5,-0.02,0.01,0.05,0.52
사람에게 친근한,-0.19,0.0,-0.33,-0.32,0.49
온화한,-0.08,0.34,-0.09,0.22,0.47
장난기 많은,0.26,-0.09,0.06,0.0,-0.44
예측 가능한,0.0999873074947044,-0.132628008947668,0.0845517000631091,0.448222012986268,0.0489223902662201
반항적인,-0.098087769319876,0.1918152554172585,0.5146639665710036,0.3238021293713485,-0.1248169365800708
불안한,0.6990701768492221,-0.1604831507517416,0.0267876914738243,0.100404483100048,-0.0247509344333639
포기하는,0.1780461688795567,-0.3132189025400483,0.0872451167522364,0.1759956332323755,-0.0720690065822106
다른 고양이를 두려워하는,0.4421627487115903,-0.1121939100733017,-0.0478069694540671,-0.0036775919332652,0.0281943262208552
자신감 있는,-0.4030418641865334,0.4984988679965397,0.1934194761201951,-0.0987756877971774,0.0870267792481004
불안한,0.7236976690394261,-0.1956482658817811,0.0555054620181976,0.0746239435775548,-0.0284962530699496
수줍은,0.7881468736151613,-0.0956869904812743,-0.1406357935594825,-0.1135965932894716,-0.1155524701516317
변덕스러운,-0.0991786583972269,0.0514485216115218,0.2930306853410901,0.5092364531739039,0.0549546190929994
신뢰하는,-0.6600051683144497,-0.0272518807673545,-0.0833691150756167,0.075514978931671,0.3384987307075042
창의적인,-0.1661594046793555,0.6074571493890499,0.0180387601065122,0.2626987355533928,0.2464479768855728
탐구적인,-0.2406547341454188,0.5141315607364679,-0.007077935171901,0.2793106171947313,0.3613095236827133
창의적인,-0.17509067212638,0.5116444472699517,0.1018377336274776,0.1849150011496085,0.252835837064146
의심스러운,0.6799697659375207,0.0770461099279476,0.0156793246584193,-0.0762182421056296,-0.2960638482514669
서투른,0.0818370694269818,-0.2730371104394554,0.0998396789385121,0.190504480449511,0.2774811539416541
복종하는,0.2762605856345473,-0.1878148665957863,-0.4063158993950624,0.0238024019948192,0.1876479987769451
목적 없는,0.1300109485203519,-0.4892255946906651,0.0835913495633197,0.4025532528335152,0.0015115783087454
괴롭히는,-0.1229545794193828,0.0274678715439086,0.7656437308117652,0.1103803037880565,-0.1131995384839908
영리한,-0.0893524231022952,0.5562150629166378,0.0101018515649342,-0.0861585952837944,-0.1064790046504572
지배적인,-0.1279143020173828,0.1926699868957443,0.6354437805525647,0.0962977821384485,-0.0795943054390833
괴롭히는,-0.064842951633631,0.0793922440765233,0.8229352562854877,0.0945421191457438,0.0121048085553721
억제된,-0.1919406141360013,0.0298676097347342,-0.0049075415919952,-0.1713709442188738,0.5852305378534376
영리한,0.038667990162493,0.6029609217007244,0.0206964645956473,-0.1112062543555001,-0.0100957619616072
괴롭히는,-0.0472180205961971,0.0649372888818667,0.7834827427006397,0.1650238759710316,-0.1226629360322498
신뢰하는,-0.7940964703941861,0.0848228184145019,-0.009449126639869,0.0651643444064803,0.3327540456595525
활동적인,-0.0700431942823964,0.484671066349048,-0.0777778824485315,0.2750568561477392,0.2048979487998541
장난기 많은,0.2286516471106116,0.0006224278998464,0.0953875967727737,-0.0281233387947133,-0.408379613047224
지배적인,-0.1413722775186635,0.1580222423071672,0.7340750348686311,0.111415918806523,-0.1085121930252127
안정적인,-0.6654928788749988,0.0257694210457092,-0.0640086244926168,-0.2443069018264932,-0.0040910162566614
자신감 있는,-0.6179299499997074,0.4288429736787618,0.1022261440419872,-0.1518693563653259,0.0994508265553776
욕심 많은,-0.0058805649518085,-0.098810602418055,0.4491788551963624,0.1594196636724042,0.4063466212936811
변덕스러운,-0.066543438646016,0.0008952157363765,0.2792490994330102,0.5375868549607443,-0.0097445148534782
복종하는,0.1647456665378137,-0.12085477827676,-0.403169761414772,-0.0028483661788712,0.1643504109065957
안정적인,-0.7012467525094477,0.1290539940375726,-0.1340886631492419,-0.1786740264150159,-0.04406474932826
다른 고양이에게 친근한,0.0538321893856895,0.1023801775907175,0.0463745810979495,0.5955152186596236,0.0391707124769593
복종하는,0.2169646375871432,-0.1842733316892268,-0.4124927264500584,0.0101023436715834,0.2358639113365593
지배적인,-0.1708227996263039,0.2115669997132155,0.7436891520480058,0.1484061917567358,0.0452433714233361
신중한,-0.0326298681678835,0.5323504587321657,0.1252368883646155,-0.2291557470790052,-0.0146882724761335
다정한,-0.4925411369827532,-0.0438840072947103,-0.021193509800506,0.0231630729879245,0.6057878004003123
포기하는,0.1985940997517716,-0.2847030081733138,0.1195176705518753,0.0874529821052366,-0.0128268079067316
질투하는,0.2121007580068184,0.0304908544671317,0.5555924827411138,0.2126217902672154,0.0890882743495797
불안정한,0.793758430824569,-0.0940841696998843,-0.1085250301811588,0.0105185931714831,0.0170385593994107
흥분하기 쉬운,0.4809786523349328,-0.0014096990632881,0.1619738730852948,0.3408991181546196,0.2611347814567537
변덕스러운,-0.1018910472043558,-0.0415750410692082,0.3890477147451601,0.4781416619628854,-0.0411118898537782
창의적인,-0.1776649112169279,0.59946578059273,-0.0024331293524434,0.2336688173972133,0.3006648288291538
침착한,-0.4843159537824558,0.0526869914484551,0.0590534326837351,-0.1343864255247061,-0.0439887183282893
목적 없는,0.0818175486286828,-0.4705465578149592,0.0416387892022503,0.3346621621390911,0.0751224857180062
끈기 있는,-0.0013964243376974,0.3994942044265545,0.3009210712057364,0.0756542122103756,0.0570891740349712
신중한,-0.1173563144764848,0.4314192980744674,0.2000206953972212,-0.2628447139485698,-0.0623455491340969
서투른,0.1368326376263643,-0.3885022776078894,-0.0154151065482902,0.1980733276578666,0.1810493078483153
괴롭히는,-0.1349588193957734,0.0639214699509321,0.8805687514332491,0.1711774428450818,-0.0535673919813395
활동적인,-0.0449885670542382,0.60818678080249,-0.182512324906016,0.2461262171501418,0.1235873645538645
대담한,-0.5638821209879787,0.4091246747350311,0.1408681562850274,0.2714375412281457,0.0508835184132874
다른 고양이에게 친근한,0.1049124956888908,0.1049952771951205,0.1272980804856575,0.5767839827751267,-0.0373042208586204
다정한,-0.4606515217222502,-0.0645566504300743,-0.0431554518324732,0.0569043576566815,0.5070799639896416
안정적인,-0.5936639501114238,0.139957426085469,-0.1170847838023811,-0.2661589107405024,0.1359631472387631
무모한,0.0556635205268882,-0.0519138989158683,0.0259614467287601,-0.5134072042769496,0.2236648888108773
자신감 있는,-0.4759975967142676,0.4005494358809983,0.1172374028948873,-0.1183637754229646,0.0266542643992839
안정적인,-0.6381024781854777,0.1567772296079315,-0.0913782676508893,-0.2995033162567639,0.139733707216401
서투른,0.0539309680962607,-0.3346210594620009,0.0111360897058155,0.1911174569332721,0.2191800611872106
자신감 있는,-0.5899052031632109,0.3963420115378733,0.191931602402056,-0.1142644690918015,0.0120945321147022
영리한,-0.1746059444278609,0.621211712985595,0.0271669583803115,-0.0360460513297119,0.0105571827324771
다른 고양이에게 공격적인,0.0588675351381614,0.0309755105534183,0.651042417403585,0.0902834227289835,-0.1943110171804702
서투른,0.1234330713341886,-0.4112427990904039,-0.0025001290411729,0.2184327335983363,0.2420970324784704
활동적인,-0.1269315406013034,0.5215972467155817,-0.0640992172711929,0.286572920039061,0.0195153115233266
충동적인,0.2332490414870541,-0.1536919673535458,0.229277386456086,0.6273142124001849,-0.2096788865094531
경계하는,0.2616646884733228,0.4842676809443904,0.041745390205686,0.1045641389451078,-0.0920808109898013
사람을 두려워하는,0.7383132822950367,0.0409390152158224,0.0126855940128096,-0.0391392845176328,-0.2873316591745411
포기하는,0.1213561166088195,-0.2896473856437732,0.0214171632729357,0.1110190917605534,-0.0913358612294982
창의적인,-0.096880326380862,0.5615095393605078,0.060430372117837,0.1968365522169584,0.2490278094177568
다른 고양이에게 공격적인,-0.0103591846903019,0.048386291102561,0.7013150467410934,0.1213727962497558,-0.2061530280072276
지배적인,-0.2062112409499145,0.0380591420861785,0.6932860418906848,0.181137406804997,-0.0636892298879203
불안정한,0.8411103572021702,-0.1969416558890384,0.0219555893710134,0.056211785673227,0.0035240308620606
활동적인,-0.1435928616520077,0.6506307710806458,-0.0807697856050988,0.2790369810132803,0.0768554585395866
반항적인,-0.1271567132383992,0.1201498598208909,0.6435741445591047,0.2946220434070545,-0.2247521830074869
불안한,0.7679415261543725,-0.114274185789077,0.075697431660783,0.0697587689047435,-0.0213493318873094
장난기 많은,0.2388111794275984,-0.1708681475054284,0.0241680064973877,0.007852729070472,-0.4318627792576802
끈기 있는,0.0320689526292923,0.5049860894583258,0.1776487149627001,0.0920829923989388,0.047622909718242
무모한,0.1488220292257742,-0.0582120805855525,0.0608606287484311,-0.4747822031238393,0.0850607975838435
복종하는,0.1834843187130505,-0.1715758198331502,-0.4689755231370756,0.0676512073572618,0.0596218137354867
호기심 많은,-0.2115222203278282,0.6161257052632878,-0.0090800889555658,0.3500799296473215,0.3225225046268069
수줍은,0.624845984912009,-0.1499575896425181,-0.0450074524114626,-0.0656936154956342,-0.1076052020946039
결단력 있는,-0.1901235965802947,0.5649103401040053,0.2224890350701803,-0.2457547671477825,0.09088742428256
변덕스러운,-0.0834220514626074,0.0486838323069263,0.2749331404198643,0.6352821471262723,0.0259621664647945
차분한,-0.6501134145943188,0.1049987023362876,-0.1151710526663415,-0.1870804905077905,0.0208770037526953
질투하는,0.2070392905997374,-0.068655768011066,0.4961278557381945,0.1230164936589907,-0.0274774424087184
장난기 많은,0.2360474471319123,-0.1786752166974806,0.0254806686930661,0.0002046503837728,-0.4003415316603451
서투른,0.1091732124876187,-0.3912394290545744,0.1792629501301705,0.2283740832737152,0.2043235156913801
활동적인,-0.1154194685629034,0.4969628981982346,-0.1633361487314226,0.2187116091621199,0.1124344884169453
의심스러운,0.7878024719738528,0.0917690679411134,0.0378710858108809,-0.0442291489384862,-0.256331103884175
괴롭히는,-0.0717681194412814,0.0005166670454819,0.7587827305143389,0.1307737321172075,-0.1002372332269106
