Item,Neuroticism,Extraversion,Dominance,Impulsiveness,Agreeableness
Insecure,0.81,-0.14,-0.03,0.06,-0.03
Anxious,0.77,-0.17,0.02,0.07,-0.06
Fearful of people,0.73,0.04,-0.02,-0.05,-0.27
Suspicious,0.71,0.06,0.02,-0.09,-0.31
Shy,0.7,-0.13,-0.06,-0.09,-0.17
Trusting,-0.69,0.0,-0.02,0.07,0.36
Calm,-0.68,0.04,-0.09,-0.18,0.09
Stable,-0.64,0.15,-0.11,-0.26,0.08
Tense,0.56,-0.13,0.11,0.12,-0.14
Self-assured,-0.53,0.46,0.13,-0.12,0.04
Bold,-0.52,0.37,0.17,0.28,0.02
Fearful of other cats,0.46,-0.14,-0.1,-0.03,-0.04
Cool,-0.45,0.08,0.01,-0.17,-0.05
Excitable,0.39,0.04,0.15,0.38,0.15
Decisive,-0.14,0.62,0.16,-0.17,0.03
Smart,-0.09,0.6,0.02,-0.11,-0.02
Curious,-0.17,0.59,-0.03,0.28,0.29
Inventive,-0.14,0.56,0.03,0.22,0.26
Active,-0.09,0.53,-0.12,0.28,0.09
Inquisitive,-0.21,0.53,-0.03,0.27,0.32
Vigilant,0.16,0.48,0.01,0.13,-0.03
Deliberate,-0.05,0.48,0.14,-0.23,-0.01
Aimless,0.11,-0.45,0.06,0.37,0.06
Clumsy,0.11,-0.4,0.03,0.21,0.22
Persevering,0.03,0.4,0.19,0.11,0.08
Quitting,0.16,-0.31,0.07,0.18,-0.06
Bullying,-0.04,0.06,0.79,0.14,-0.07
Dominant,-0.19,0.16,0.7,0.11,-0.11
Aggressive to other cats,0.04,0.04,0.69,0.1,-0.15
Jealous,0.13,-0.02,0.59,0.1,0.04
Defiant,-0.09,0.16,0.56,0.3,-0.19
Submissive,0.25,-0.19,-0.46,0.02,0.17
Greedy,0.02,-0.11,0.45,0.1,0.28
Friendly to other cats,0.07,0.1,0.12,0.6,-0.02
Impulsive,0.21,-0.13,0.23,0.6,-0.21
Erratic,-0.04,0.04,0.31,0.55,0.02
Reckless,0.05,0.02,-0.02,-0.48,0.13
Predictable,0.13,-0.18,0.07,0.48,0.1
Distractible,0.01,-0.15,-0.1,-0.47,0.01
Constrained,-0.19,0.06,-0.07,-0.14,0.61
Affectionate,-0.5,-0.02,0.01,0.05,0.52
Friendly to people,-0.19,0.0,-0.33,-0.32,0.49
Gentle,-0.08,0.34,-0.09,0.22,0.47
Playful,0.26,-0.09,0.06,0.0,-0.44
